ID	AFP	dominating_struct	avg_occupancy	dominant_fp	d_seq
0	['.', '()', '().', '(..)', '().()', '(..)()', '(..)(.)']	True	  0.9917	['.', '.', '.', '()', '()', '().', '().', '().', '().', '()..', '(..)', '(..)', '(..)', '(..)', '(..)', '(..)', '(..)', '().()', '().()', '().()', '().()', '().()', '().()', '().()', '().()', '().()', '()..()', '(..)()', '(..)()', '(..)()', '(..)()', '(..)()', '(..)()', '(..)()', '(..)()', '(..)().', '(..)().', '(..)().', '(..)().', '(..)(.)', '(..)(.)']	a* L0* b* S0  L0  S1  L1*  S2 c b L0 a d S3 e* f* d* a* L0* b* c* g* h* S4 g c b L0 a d f S5 h g c b L0 a d f e S6
0	['.', '()', '().', '(..)', '().()', '(..)()', '(...())']	True	   0.996	['', '.', '.', '.', '.', '()', '()', '().', '().', '().', '().', '()..', '(..)', '(..)', '(..)', '(..)', '(..)', '(..)', '().()', '().()', '().()', '().()', '().()', '().()', '().()', '().()', '()..()', '(..)()', '(..)()', '(..)()', '(..)()', '(..)()', '(..)()', '(..)().', '(..)().', '(...())', '(...())']	a* b* L0* c* d* S0  L0  S1  L1*  S2 e c L0 b f S3 g* f* b* L0* c* e* h* S4 h e c L0 b f g S5 d c L0 b a S6
0	['.', '()', '().', '(..)', '().()', '.(.())', '((.()))']	True	     1.0	['.', '.', '.', '.', '()', '()', '()', '().', '().', '().', '().', '()..', '(..)', '(..)', '(..)', '(..)', '(..)', '().()', '().()', '().()', '().()', '().()', '.(.())', '.(.())', '.(.())', '((.()))', '((.()))']	a* L0* b* S0 c L0 d S1  L1*  S2 e b L0 a f S3 f* a* L0* b* e* S4 d* L0* c* S5  L0  S6
0	['.', '()', '().', '(..)', '().()', '.(.())', '().()()']	True	  0.9738	['.', '.', '.', '.', '()', '()', '()', '().', '().', '().', '().', '()..', '(..)', '(..)', '(..)', '(..)', '(..)', '().()', '().()', '().()', '().()', '().()', '().()', '.(.())', '.(.())', '.(.())', '.(.())', '.(.())', '.(.())', '().()()', '().()()', '().()()', '().()()']	a* L0* b* S0 c L0 d S1  L1*  S2 e b L0 a f S3 f* a* L0* b* e* S4 g* d* L0* c* h* S5 h c L0 d g S6
0	['.', '()', '().', '(..)', '().()', '.(.())', '.((()))']	True	   0.883	['.', '.', '.', '.', '.', '()', '()', '()', '()', '().', '().', '().', '().', '()..', '(..)', '(..)', '(..)', '(..)', '(..)', '().()', '().()', '().()', '().()', '().()', '.(.())', '.(.())', '.(.())', '.(.())', '.(.())', '.(.()).', '.(.()).', '.((()))', '.((()))']	a* L0* b* S0 c d L0 e f S1  L0  S2 g b L0 a h S3 h* a* L0* b* g* S4 e* L0* d* S5 f* e* L0* d* c* S6
0	['.', '()', '().', '(..)', '().()', '.(.())', '.(.()).']	True	     1.0	['.', '.', '.', '.', '()', '()', '()', '().', '().', '().', '().', '()..', '(..)', '(..)', '(..)', '(..)', '(..)', '().()', '().()', '().()', '().()', '().()', '.(.())', '.(.())', '.(.())', '.(.()).', '.(.()).']	a* L0* b* S0 c L0 d S1  L1*  S2 e b L0 a f S3 f* a* L0* b* e* S4 d* L0* c* S5  L2*  S6
0	['.', '()', '().', '(..)', '().()', '.(.())', '.(.().)']	True	     1.0	['.', '.', '.', '.', '.', '()', '()', '()', '()', '().', '().', '().', '().', '()..', '(..)', '(..)', '(..)', '(..)', '(..)', '().()', '().()', '().()', '().()', '().()', '.(.())', '.(.())', '.(.())', '.(.())', '.(.())', '.(.()).', '.(.()).', '.(.().)', '.(.().)']	a* L0* b* S0 c d L0 e f S1  L1*  S2 g b L0 a h S3 h* a* L0* b* g* S4 e* L0* d* S5 f* e* L0* d* c* S6
0	['.', '()', '().', '(..)', '(.())', '(.()).', '(.()())']	False	  0.7421	['', '', '.', '.', '.', '.', '.', '()', '()', '.()', '.()', '.()', '(())', '(())', '(())', '(())', '(())', '(()).', '(()).', '(().)', '(().)', '(().).', '(().).', '(().).', '(().).', '(().).', '(().)()', '(().)()', '(().)()', '(().)()', '(().)()']	a* b* c* L0* d* e* f* S0  L0  S1  L0*  S2 d L0 c S3 e d L0 c b S4  L0*  S5 f e d L0 c b a S6
0	['.', '()', '().', '(..)', '(.())', '(.()).', '(.())()']	False	  0.7507	['', '.', '.', '.', '.', '()', '()', '.()', '.()', '.()', '(())', '(())', '(())', '(())', '(())', '(()).', '(()).', '(().)', '(().)', '(().).', '(().).', '(().)()', '(().)()']	a* b* L0* c* d* S0  L0  S1  L0*  S2 c L0 b S3 d c L0 b a S4  L1*  S5  L1  S6
0	['.', '()', '().', '(..)', '(.())', '(.()).', '(.())..']	False	  0.7507	['', '.', '.', '.', '.', '()', '()', '.()', '.()', '.()', '(())', '(())', '(())', '(())', '(())', '(()).', '(()).', '(().)', '(().)', '(().).', '(().).', '(().)..', '(().)..']	a* b* L0* c* d* S0  L0  S1  L0*  S2 c L0 b S3 d c L0 b a S4  L1*  S5  L2*  S6
0	['.', '()', '().', '(..)', '(.())', '(.()).', '(.()..)']	False	  0.7421	['', '', '.', '.', '.', '.', '.', '()', '()', '.()', '.()', '.()', '(())', '(())', '(())', '(())', '(())', '(()).', '(()).', '(().)', '(().)', '(().).', '(().).', '(().).', '(().).', '(().).', '(().)..', '(().)..', '(().)..', '(()...)', '(()...)']	a* b* c* L0* d* e* f* S0  L0  S1  L0*  S2 d L0 c S3 e d L0 c b S4  L1*  S5 f e d L0 c b a S6
0	['.', '()', '().', '(..)', '(.())', '(.()).', '(.(..))']	False	  0.7421	['', '', '.', '.', '.', '.', '.', '()', '()', '.()', '.()', '.()', '(())', '(())', '(())', '(())', '(())', '(()).', '(()).', '(().)', '(().)', '(().).', '(().).', '(().).', '(().).', '(().).', '(().)..', '(().)..', '(().)..', '(()...)', '(()...)']	a* b* c* L0* d* e* f* S0  L0  S1  L0*  S2 d L0 c S3 e d L0 c b S4  L0  S5 f e d L0 c b a S6
0	['.', '()', '().', '(..)', '(.())', '(.()).', '(..(.))']	False	  0.7421	['', '', '.', '.', '.', '.', '.', '()', '()', '.()', '.()', '.()', '(())', '(())', '(())', '(())', '(())', '(()).', '(()).', '(().)', '(().)', '(().).', '(().).', '(().).', '(().).', '(().).', '(().)()', '(().)()', '(().)()', '(().)()', '(().)()']	a* b* c* L0* d* e* f* S0  L0  S1  L0*  S2 d L0 c S3 e d L0 c b S4  L0*  S5 f e d L0 c b a S6
0	['.', '()', '().', '(..)', '(.())', '(.()).', '(..)(.)']	False	  0.7507	['', '.', '.', '.', '.', '()', '()', '.()', '.()', '.()', '(())', '(())', '(())', '(())', '(())', '(())', '(()).', '(()).', '(().)', '(().)', '(().)', '(().).', '(().).', '(().).', '(().).', '(().).', '.().(.)', '(())(.)', '(())(.)', '(())(.)', '(())(.)']	a* b* L0* c* d* S0  L0  S1  L0*  S2 c L0 b S3 e d c L0 b a f S4  L1*  S5 f* a* b* L0* c* d* e* S6
0	['.', '()', '().', '(..)', '(.())', '(.().)', '(.())()']	False	  0.7421	['', '', '.', '.', '.', '.', '.', '()', '()', '.()', '.()', '.()', '(())', '(())', '(())', '(())', '(())', '(()).', '(()).', '(().)', '(().)', '(().)', '(().)', '(().)', '(().)', '(().).', '(().).', '(().).', '(()..)', '(()..)', '(()..)', '(()..)', '(()..)', '(()..)', '(()..)', '(()..).', '(()..).', '(()..).', '(()..).', '(()..).', '(()..).']	a* b* c* L0* d* e* f* S0  L0  S1  L0*  S2 d L0 c S3 e d L0 c b S4 g f e d L0 c b a h S5 h* a* b* c* L0* d* e* f* g* S6
0	['.', '()', '().', '(..)', '(.())', '(.().)', '(.().).']	False	  0.7421	['', '', '.', '.', '.', '.', '.', '()', '()', '.()', '.()', '.()', '(())', '(())', '(())', '(())', '(())', '(()).', '(()).', '(().)', '(().)', '(().)', '(().)', '(().)', '(().).', '(().).', '(().).', '(()..)', '(()..)', '(()..).', '(()..).']	a* b* c* L0* d* e* f* S0  L0  S1  L0*  S2 d L0 c S3 e d L0 c b S4 f e d L0 c b a S5  L1*  S6
0	['.', '()', '().', '(..)', '(.())', '(.().)', '(.()..)']	False	  0.7379	['', '', '', '.', '.', '.', '.', '.', '.', '()', '()', '.()', '.()', '.()', '(())', '(())', '(())', '(())', '(())', '(()).', '(()).', '(().)', '(().)', '(().)', '(().)', '(().)', '(().).', '(().).', '(().).', '(()..)', '(()..)', '(()..)', '(()..)', '(()..)', '(()..)', '(()..).', '(()..).', '(()..).', '(()..).', '(()...)', '(()...)']	a* b* c* d* L0* e* f* g* h* S0  L0  S1  L0*  S2 e L0 d S3 f e L0 d c S4 g f e L0 d c b S5 h g f e L0 d c b a S6
0	['.', '()', '().', '(..)', '(.())', '(..)()', '().(())']	False	  0.7507	['', '.', '.', '.', '.', '()', '()', '.()', '.()', '.()', '.()', '(())', '(())', '(())', '(())', '(())', '(())', '(())', '(()).', '(()).', '(().)', '(().)', '(().)', '(().)', '(().)', '(().)', '.().()', '(())()', '(())()', '(())()', '(())()', '(())()', '(())()', '.()(())', '.()(())', '.()(())', '.()(())']	a* b* L0* c* d* S0  L0  S1  L0*  S2 e c L0 b f S3 g d c L0 b a h S4 h* a* b* L0* c* d* g* S5 f* b* L0* c* e* S6
0	['.', '()', '().', '(..)', '(.())', '(..)()', '(.()())']	False	  0.7421	['', '', '.', '.', '.', '.', '.', '()', '()', '.()', '.()', '.()', '(())', '(())', '(())', '(())', '(())', '(())', '(()).', '(()).', '(().)', '(().)', '(().)', '(().)', '(().)', '(().)', '.().()', '(())()', '(())()', '(())()', '(())()', '(())()', '(())()', '(())()', '(())().', '(())().', '(().())', '(().())', '(().())']	a* b* c* L0* d* e* f* S0  L0  S1  L0*  S2 d L0 c S3 g e d L0 c b h S4 h* b* c* L0* d* e* g* S5 f e d L0 c b a S6
