ID	AFP	dominating_struct	avg_occupancy	dominant_fp	d_seq
0	['.', '()', '().', '(())', '(()).', '(()())']	False	  0.5003	['.', '', '.', '()', '().', '()()', '()().', '()()()']	a* b* c* L0* d* e* f* S0 d L0 c S1  L0*  S2 e d L0 c b S3  L0*  S4 f e d L0 c b a S5
0	['.', '()', '().', '(())', '(()).', '(())()']	False	  0.5008	['.', '', '.', '()', '().', '()()', '()().', '()()()']	a* b* L0* c* d* S0 c L0 b S1  L0*  S2 d c L0 b a S3  L1*  S4  L1  S5
0	['.', '()', '().', '(())', '(()).', '(())..']	False	  0.5008	['.', '', '.', '()', '().', '()()', '()().', '()()..']	a* b* L0* c* d* S0 c L0 b S1  L0*  S2 d c L0 b a S3  L1*  S4  L2*  S5
0	['.', '()', '().', '(())', '(()).', '(()..)']	False	  0.5488	['.', '', '.', '()', '().', '()()', '()().', '()()..', '(.().)']	a* b* c* L0* d* e* f* S0 d L0 c S1  L0*  S2 e d L0 c b S3  L1*  S4 f e d L0 c b a S5
0	['.', '()', '().', '(())', '(()).', '((..))']	False	  0.6004	['.', '', '.', '()', '().', '()()', '()().', '()()()']	a* b* c* L0* d* e* f* S0 d L0 c S1  L0*  S2 e d L0 c b S3  L0*  S4 f e d L0 c b a S5
0	['.', '()', '().', '(())', '(()).', '().(.)']	True	  0.6672	['.', '', '.', '()', '().', '()()', '()().', '().(.)']	a* b* L0* c* d* S0 c L0 b S1  L0*  S2 e d c L0 b a f S3  L1*  S4 f* a* b* L0* c* d* e* S5
0	['.', '()', '().', '(())', '(()).', '(.(.))']	False	   0.508	['.', '', '.', '()', '().', '()()', '()().', '()()..', '(.().)']	a* b* c* L0* d* e* f* S0 d L0 c S1  L0*  S2 e d L0 c b S3  L0  S4 f e d L0 c b a S5
0	['.', '()', '().', '(())', '(()).', '(()())']	False	  0.5004	['.', '', '.', '()', '().', '()()', '()().', '()()()']	a* b* c* L0* d* e* f* S0 d L0 c S1  L0*  S2 e d L0 c b S3  L0*  S4 f e d L0 c b a S5
0	['.', '()', '().', '(())', '(()).', '(())()']	False	  0.5008	['.', '', '.', '()', '().', '()()', '()().', '()()()']	a* b* L0* c* d* S0 c L0 b S1  L0*  S2 d c L0 b a S3  L1*  S4  L1  S5
0	['.', '()', '().', '(())', '(()).', '(())..']	False	  0.5008	['.', '', '.', '()', '().', '()()', '()().', '()()..']	a* b* L0* c* d* S0 c L0 b S1  L0*  S2 d c L0 b a S3  L1*  S4  L2*  S5
0	['.', '()', '().', '(())', '(()).', '(()..)']	False	   0.549	['.', '', '.', '()', '().', '()()', '()().', '()()..', '(.().)']	a* b* c* L0* d* e* f* S0 d L0 c S1  L0*  S2 e d L0 c b S3  L1*  S4 f e d L0 c b a S5
0	['.', '()', '().', '(())', '(()).', '((..))']	False	  0.6004	['.', '', '.', '()', '().', '()()', '()().', '()()()']	a* b* c* L0* d* e* f* S0 d L0 c S1  L0*  S2 e d L0 c b S3  L0*  S4 f e d L0 c b a S5
0	['.', '()', '().', '(())', '(()).', '().(.)']	True	  0.6672	['.', '', '.', '()', '().', '()()', '()().', '().(.)']	a* b* L0* c* d* S0 c L0 b S1  L0*  S2 e d c L0 b a f S3  L1*  S4 f* a* b* L0* c* d* e* S5
0	['.', '()', '().', '(())', '(()).', '(()())']	False	  0.5002	['.', '', '.', '()', '().', '()()', '()().', '()()()']	a* b* c* L0* d* e* f* S0 d L0 c S1  L0*  S2 e d L0 c b S3  L0*  S4 f e d L0 c b a S5
0	['.', '()', '().', '(())', '(()).', '(())()']	False	  0.5008	['.', '', '.', '()', '().', '()()', '()().', '()()()']	a* b* L0* c* d* S0 c L0 b S1  L0*  S2 d c L0 b a S3  L1*  S4  L1  S5
0	['.', '()', '().', '(())', '(()).', '(())..']	False	  0.5008	['.', '', '.', '()', '().', '()()', '()().', '()()..']	a* b* L0* c* d* S0 c L0 b S1  L0*  S2 d c L0 b a S3  L1*  S4  L2*  S5
0	['.', '()', '().', '(())', '(()).', '(()..)']	False	  0.5488	['.', '', '.', '()', '().', '()()', '()().', '()()..', '(.().)']	a* b* c* L0* d* e* f* S0 d L0 c S1  L0*  S2 e d L0 c b S3  L1*  S4 f e d L0 c b a S5
0	['.', '()', '().', '(())', '(()).', '((..))']	False	  0.6003	['.', '', '.', '()', '().', '()()', '()().', '()()()']	a* b* c* L0* d* e* f* S0 d L0 c S1  L0*  S2 e d L0 c b S3  L0*  S4 f e d L0 c b a S5
